recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
Aziatische garnalenomelet met wortel-sesamsalade,435.0,17.0,0.0,895.0,22.0,30.0,6.0,13.0
"Aziatische hotdog met rodekool, avocado &amp; tahindressing",200.0,28.0,0.0,240.0,7.0,6.0,1.0,4.0
Aziatische kipballetjes met wortelrijst,390.0,37.0,0.0,535.0,21.0,17.0,3.0,3.0
Aziatische koolsalade,280.0,17.0,0.0,30.0,8.0,19.0,3.0,6.0
Aziatische maaltijdsalade,635.0,17.0,0.0,1120.0,26.0,49.0,6.0,14.0
Aziatische noedelsalade met biefstuk en sperziebonen,530.0,58.0,0.0,2150.0,44.0,12.0,2.0,7.0
Aziatische noedelsalade met tofu,430.0,44.0,0.0,37.0,20.0,18.0,3.0,8.0
Aziatische pastasalade met lichtpittige kip &amp; broccoli,600.0,59.0,0.0,160.0,39.0,21.0,3.0,9.0
Aziatische rijstsalade met krab,830.0,56.0,0.0,635.0,27.0,52.0,6.0,14.0
"Aziatische roerbak met pittig gehakt, groenten en spiegelei",845.0,80.0,0.0,1705.0,40.0,38.0,11.0,9.0
Aziatische roerbak met varkenssaté,675.0,68.0,0.0,160.0,35.0,27.0,5.0,8.0
Aziatische roerbak met vegaschnitzel &amp; radijs,670.0,90.0,0.0,560.0,20.0,23.0,3.0,12.0
Aziatische salade met rivierkreeftjes,685.0,54.0,0.0,1385.0,19.0,42.0,5.0,7.0
Aziatische salade met zalm,665.0,18.0,0.0,0.0,36.0,48.0,0.0,0.0
Aziatische slawraps met kip &amp; rijst,510.0,57.0,15.0,960.0,21.0,21.0,5.0,5.0
Aziatische spaghetti bolognese ,655.0,72.0,0.0,1160.0,31.0,25.0,7.0,8.0
Aziatische sperziebonen,195.0,11.0,0.0,25.0,5.0,13.0,4.0,8.0
Aziatische vis met noedels en groenten,430.0,23.0,0.0,0.0,36.0,21.0,0.0,0.0
Aziatische zalm en aspergebroccoli uit de oven,490.0,16.0,0.0,760.0,36.0,30.0,6.0,4.0
Aziatische zoetzure noedelsoep,575.0,64.0,0.0,2900.0,43.0,15.0,3.0,8.0
BBQ baked beans,365.0,41.0,0.0,2120.0,15.0,13.0,5.0,11.0
BBQ portobello 'caprese',145.0,8.0,7.0,200.0,7.0,9.0,4.0,3.0
BBQ s’mores met aardbeien,310.0,54.0,41.0,80.0,5.0,8.0,5.0,1.0
BBQ-chicken pizza,940.0,103.0,0.0,1040.0,45.0,37.0,13.0,8.0
"BBQ-salade met gegrilde meloen, amandelen en feta",270.0,14.0,0.0,440.0,11.0,18.0,8.0,3.0
Baba ganoush met koriander,60.0,4.0,0.0,7.0,1.0,4.0,1.0,2.0
Babi pangang,510.0,34.0,0.0,470.0,21.0,32.0,7.0,1.0
Babka met chocolade en hazelnoten,265.0,27.0,0.0,40.0,5.0,15.0,8.0,2.0
Babka met spinazie en halloumi,245.0,21.0,0.0,280.0,10.0,13.0,7.0,2.0
Babybietjes met burrata en pistachenoten ,170.0,10.0,0.0,65.0,4.0,12.0,4.0,1.0
"Bagel gerookte zalm, roomkaas en kappertjes",420.0,52.0,8.0,1040.0,18.0,15.0,6.0,3.0
"Bagel guacamole, bacon en tomaat",385.0,52.0,7.0,800.0,13.0,13.0,2.0,4.0
Bagel met tonijn en kaas,605.0,56.0,0.0,918.0,25.0,30.0,6.0,6.0
Bagel plantaardige roomkaas met aardbei en munt,410.0,54.0,7.0,680.0,9.0,17.0,11.0,3.0
Bagelquiches van Rutger Bakt,360.0,49.0,0.0,680.0,12.0,12.0,6.0,2.0
Baghrir,150.0,30.0,2.0,120.0,5.0,1.0,0.0,1.0
Baguette ossenworst met piccalilly,560.0,70.0,0.0,1640.0,28.0,18.0,6.0,4.0
Baileys snowball,115.0,11.0,0.0,0.0,1.0,3.0,2.0,0.0
Baked 'feta' pasta met burrata,725.0,64.0,14.0,160.0,19.0,42.0,15.0,8.0
Bakewell taart,465.0,39.0,0.0,65.0,8.0,30.0,14.0,3.0
Bakjes van spek en ei,105.0,0.0,0.0,240.0,8.0,8.0,3.0,0.0
"Bakplaat met pangasius, kriel, wortel en sinaasappel",425.0,33.0,0.0,440.0,35.0,15.0,3.0,8.0
Balletjes met fruit,610.0,20.0,0.0,525.0,25.0,47.0,15.0,4.0
Bami ketjap met garnalen,485.0,74.0,0.0,870.0,24.0,8.0,2.0,8.0
Bami met gehaktballetjes,650.0,66.0,0.0,435.0,28.0,29.0,8.0,7.0
Bami met kip,655.0,71.0,0.0,1590.0,36.0,24.0,4.0,6.0
Bami met kip en pindasaus,760.0,93.0,28.0,1160.0,39.0,24.0,4.0,8.0
Bami met paksoi en omelet,565.0,61.0,0.0,0.0,25.0,24.0,0.0,0.0
Bami met verse gember,475.0,55.0,0.0,1180.0,16.0,20.0,6.0,5.0
Bami met zoete puntpaprika,540.0,67.0,0.0,1095.0,22.0,18.0,3.0,8.0
Bami speciaal met gehakt,585.0,69.0,0.0,1275.0,28.0,20.0,6.0,8.0
Bamischijf,275.0,31.0,3.0,320.0,8.0,13.0,3.0,1.0
Banaan met chocolade en pecannoten van de BBQ,395.0,49.0,41.0,40.0,4.0,19.0,6.0,5.0
Banaan met chocolade en rum ,275.0,41.0,0.0,0.0,4.0,7.0,0.0,0.0
Banaan met ijs,475.0,58.0,0.0,0.0,8.0,23.0,0.0,0.0
Banaan-aardbeienijs,105.0,24.0,0.0,0.0,1.0,0.0,0.0,2.0
Banaan-karameltaart,410.0,33.0,0.0,115.0,4.0,28.0,15.0,2.0
Banaan-slagroomtaart met karamel,600.0,64.0,0.0,185.0,7.0,35.0,22.0,1.0
Banaan-sojapannenkoekjes met kokos &amp; bramen,230.0,18.0,0.0,200.0,9.0,13.0,4.0,3.0
Banaanbites,210.0,32.0,0.0,0.0,1.0,8.0,1.0,2.0
Banana colada,285.0,28.0,0.0,0.0,2.0,11.0,0.0,0.0
Bananen-havermout met pindakaas en zaden-pittenmix,375.0,52.0,29.0,80.0,13.0,11.0,3.0,7.0
Bananen-kokoscake,394.0,90.0,0.0,280.0,10.0,43.0,28.0,6.0
Bananen-nicecream met sesamzaad,375.0,43.0,0.0,40.0,6.0,19.0,8.0,5.0
Bananen-notenbrood,380.0,35.0,0.0,150.0,7.0,23.0,9.0,3.0
Bananen-wortelmuffin met pecannoten,185.0,26.0,0.0,120.0,3.0,7.0,1.0,3.0
Bananenbrood,330.0,45.0,0.0,150.0,5.0,14.0,9.0,2.0
Bananenbrood met amandel en aardbeienjam,205.0,27.0,11.0,160.0,7.0,7.0,1.0,3.0
Bananenbrood met chocolade,340.0,33.0,0.0,100.0,7.0,19.0,11.0,3.0
Bananenbrood met mango,450.0,65.0,0.0,0.0,5.0,18.0,0.0,0.0
Bananenbrood met notenmix,290.0,27.0,0.0,140.0,7.0,17.0,3.0,2.0
Bananenbrood met sinaasappel,340.0,48.0,0.0,0.0,5.0,14.0,0.0,0.0
Bananenbrood zonder suiker (geen toegevoegde suikers),280.0,23.0,12.0,120.0,9.0,16.0,2.0,4.0
Bananenbroodtulband met noten,275.0,26.0,0.0,80.0,5.0,16.0,3.0,3.0
Bananenijs,155.0,18.0,0.0,0.0,2.0,8.0,0.0,0.0
Bananenijstaart met granola en frambozen,170.0,17.0,0.0,40.0,4.0,9.0,4.0,4.0
Bananenpannenkoekjes met pecannoten,375.0,15.0,0.0,80.0,10.0,30.0,5.0,2.0
"Bananensplit met magere kwark, kersen en muesli",310.0,53.0,36.0,40.0,15.0,3.0,1.0,5.0
"Bananentaart met noten, zaden &amp; Griekse yoghurt",270.0,44.0,17.0,200.0,8.0,6.0,2.0,3.0
Bananentarte tatin met vanilleroomijs,255.0,38.0,25.0,120.0,3.0,10.0,6.0,1.0
Banh mi (Vietnamees broodje),475.0,64.0,0.0,1120.0,31.0,9.0,2.0,6.0
Banketbakkersroom,255.0,40.0,31.0,80.0,6.0,8.0,4.0,0.0
Banketstaaf,520.0,50.0,0.0,180.0,11.0,30.0,7.0,4.0
Banoffee pie in een glas,635.0,64.0,0.0,40.0,9.0,37.0,21.0,5.0
Banoffee taart,645.0,72.0,0.0,155.0,9.0,35.0,20.0,3.0
Bapao met gehakt ,200.0,29.0,0.0,680.0,9.0,5.0,2.0,1.0
Barbecue-kippenvleugels met dip van crème fraîche,365.0,14.0,0.0,230.0,21.0,25.0,12.0,0.0
Barbecue-pastasalade,315.0,39.0,0.0,225.0,7.0,14.0,1.0,2.0
Barbecuesaus met appelcider,145.0,21.0,0.0,320.0,1.0,6.0,1.0,1.0
Bart van Olphens kabeljauw ceviche,90.0,6.0,0.0,55.0,14.0,1.0,0.0,2.0
Bart van Olphens schelvis met zeekraal,380.0,11.0,0.0,930.0,26.0,25.0,8.0,2.0
Bart van Olphens zalmcarpaccio ,395.0,4.0,0.0,4.0,18.0,33.0,6.0,190.0
Basisbouillon,10.0,0.0,0.0,5.0,0.0,1.0,0.5,0.0
Basisrecept hummus,175.0,10.0,1.0,240.0,7.0,11.0,2.0,5.0
Basisrecept letterkoekjes,30.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0
Basisrecept pannenkoekenbeslag,205.0,30.0,0.0,160.0,9.0,5.0,3.0,2.0
Basisrecept vegan meringue,75.0,19.0,0.0,40.0,0.0,0.0,0.0,0.0
Bavarois bombe,475.0,47.0,45.0,40.0,6.0,28.0,16.0,5.0
Bavarois taart met stoofperen,240.0,22.0,0.0,40.0,4.0,15.0,10.0,1.0
Bavette met gegrilde asperges en zoete-aardappelchips,425.0,23.0,0.0,80.0,18.0,28.0,11.0,4.0
Bbq gegrilde avocado met salsa en zwarte bonen,220.0,5.0,2.0,80.0,4.0,19.0,2.0,6.0
Bbq slow smoked picanha met appelciderrelish van Jord Althuizen,350.0,3.0,2.0,440.0,27.0,25.0,5.0,1.0
Bbq-pizza ai quattro formaggi van bierdeeg ,615.0,63.0,7.0,880.0,31.0,24.0,15.0,4.0
Bbq-regenboogforel met citroen en geroosterde venkel,450.0,4.0,3.0,600.0,30.0,34.0,6.0,4.0
Bearnaisesaus,250.0,1.0,1.0,40.0,2.0,26.0,17.0,0.0
Bechamelsaus,220.0,16.0,0.0,0.0,6.0,15.0,0.0,0.0
Beef Wellington ,315.0,13.0,1.0,520.0,27.0,17.0,8.0,1.0
Beef chimichurri,445.0,2.0,0.0,400.0,35.0,33.0,8.0,1.0
Beef rendang,475.0,7.0,0.0,600.0,28.0,37.0,22.0,1.0
Beef rendang met basmatirijst,1250.0,78.0,0.0,1200.0,59.0,76.0,46.0,10.0
Beef teriyaki,495.0,69.0,16.0,1840.0,37.0,7.0,2.0,1.0
Beefburger met gebakken knoflookaardappelen,740.0,68.0,0.0,142.0,30.0,36.0,12.0,9.0
Beefburger met zoete-aardappelfrites en broccolisalade,800.0,71.0,0.0,1415.0,34.0,39.0,11.0,14.0
Beefburger op groentebroodje,485.0,34.0,0.0,1240.0,36.0,22.0,10.0,4.0
Beenham met glaze van mosterd en kruidnagel,475.0,26.0,24.0,1600.0,60.0,14.0,8.0,1.0
Beenham uit de oven met sinaasappel,275.0,25.0,0.0,957.0,22.0,9.0,3.0,1.0
Beer negroni (biercocktail),260.0,19.0,0.0,15.0,1.0,0.0,0.0,1.0
Belgische kippensoep,645.0,26.0,0.0,360.0,28.0,45.0,21.0,6.0
"Belgische stoofpot met bruin bier, wortel &amp; pastinaak ",440.0,22.0,0.0,840.0,41.0,18.0,8.0,7.0
Berenpizza's,110.0,10.0,0.0,240.0,6.0,5.0,2.0,2.0
Berry-cherry-brownies,360.0,32.0,0.0,30.0,6.0,23.0,15.0,4.0
Bessen-bosvruchtenmilkshake,170.0,34.0,0.0,0.0,3.0,1.0,0.0,0.0
Bessensandwiches,435.0,34.0,0.0,0.0,9.0,29.0,0.0,0.0
Bieflapjes met spruiten en zoete-aardappelpuree,525.0,55.0,0.0,200.0,24.0,21.0,3.0,11.0
Biefstuk en portobello,675.0,56.0,0.0,0.0,32.0,35.0,0.0,0.0
Biefstuk en sugarsnaps,505.0,53.0,0.0,0.0,33.0,18.0,0.0,0.0
Biefstuk gourmetten,90.0,1.0,1.0,80.0,9.0,5.0,3.0,1.0
Biefstuk in oestersaus met paksoi en sojabonen,540.0,67.0,7.0,1000.0,28.0,17.0,4.0,4.0
Biefstuk met aspergebroccoli en kruidensaus,270.0,3.0,0.0,0.0,21.0,19.0,0.0,0.0
Biefstuk met balsamico-honingsaus,670.0,77.0,0.0,280.0,42.0,19.0,3.0,12.0
Biefstuk met balsamicojus en verse vijgen,520.0,18.0,15.0,760.0,39.0,32.0,12.0,2.0
Biefstuk met balsamicosiroop ,445.0,46.0,0.0,810.0,27.0,16.0,5.0,5.0
Biefstuk met bonen-radijssalade &amp; gemengde aardappeltjes,615.0,52.0,0.0,95.0,36.0,27.0,9.0,10.0
"Biefstuk met champignons, knoflook en peterselie",370.0,25.0,0.0,170.0,33.0,15.0,3.0,3.0
Biefstuk met champignonsaus,540.0,7.0,5.0,480.0,40.0,39.0,26.0,1.0
Biefstuk met chili-tomatensaus,305.0,15.0,0.0,0.0,31.0,13.0,0.0,0.0
Biefstuk met gegrilde groenten,660.0,8.0,0.0,0.0,34.0,53.0,0.0,0.0
Biefstuk met hoisin-pindasaus,640.0,55.0,0.0,0.0,32.0,32.0,0.0,0.0
"Biefstuk met koffiesaus, paprika-komkommersalade &amp; ovenfriet",715.0,54.0,4.0,760.0,41.0,36.0,19.0,7.0
Biefstuk met kruidenkorstje,635.0,52.0,0.0,0.0,43.0,28.0,0.0,0.0
Biefstuk met ovenaardappelen en tomaat-courgettesalade,635.0,57.0,0.0,80.0,40.0,25.0,4.0,10.0
Biefstuk met piccalillysaus,415.0,46.0,0.0,0.0,25.0,12.0,0.0,0.0
Biefstuk met pikante olie,595.0,4.0,0.0,0.0,31.0,51.0,0.0,0.0
Biefstuk met rodewijnsaus en geroosterde aardappelen,855.0,45.0,8.0,600.0,52.0,48.0,22.0,9.0
Biefstuk met rodewijnsaus en ham,360.0,2.0,0.0,0.0,28.0,23.0,0.0,0.0
Biefstuk met tuinkruidenboter,725.0,43.0,0.0,0.0,35.0,45.0,0.0,0.0
Biefstuk stroganoff,315.0,5.0,0.0,0.0,32.0,18.0,0.0,0.0
Biefstuk stroganoff met zelfgemaakte frites,685.0,48.0,0.0,620.0,48.0,32.0,18.0,5.0
Biefstuk tagliata,355.0,1.0,0.0,445.0,40.0,21.0,5.0,0.0
Biefstuk-roomkaas-bruschetta met radijs en bieslook ,150.0,10.0,0.0,200.0,7.0,9.0,6.0,1.0
Biefstukpuntjes met mie,485.0,72.0,0.0,915.0,28.0,8.0,2.0,6.0
Biefstukreepjes met komijn en paprika,550.0,60.0,0.0,0.0,30.0,20.0,0.0,0.0
Biefstuksalade met avocado-chimichurridressing,840.0,49.0,0.0,360.0,43.0,50.0,7.0,12.0
Biefstukspies met groenten,160.0,2.0,0.0,0.0,18.0,9.0,0.0,0.0
Biefstukspies met peper-rozemarijnolie,240.0,0.0,0.0,0.0,30.0,13.0,0.0,0.0
Biermocktail met citrus,115.0,27.0,19.0,0.0,1.0,0.0,0.0,1.0
Bieslookblini's met zalm,405.0,32.0,0.0,745.0,15.0,24.0,14.0,1.0
Biet Wellington,270.0,21.0,0.0,520.0,7.0,16.0,7.0,4.0
Biet met balsamico &amp; basilicum,245.0,18.0,0.0,230.0,10.0,14.0,6.0,2.0
Bieten met ricotta en munt,175.0,11.0,0.0,225.0,6.0,11.0,6.0,4.0
Bieten-geitenkaastaartjes met pastinaak &amp; rucola,475.0,26.0,0.0,320.0,25.0,28.0,9.0,10.0
Bieten-haring-aardappelsalade,430.0,41.0,0.0,0.0,19.0,19.0,0.0,0.0
Bieten-wortel-grapefruitsap,75.0,17.0,0.0,30.0,1.0,0.0,0.0,1.0
Bietenburgers van de BBQ,425.0,52.0,0.0,1000.0,15.0,15.0,2.0,11.0
Bietencarpaccio,125.0,8.0,0.0,220.0,3.0,9.0,1.0,4.0
Bietencarpaccio met geitenkaasdressing,370.0,14.0,13.0,520.0,11.0,29.0,8.0,5.0
Bietenchips,40.0,7.0,0.0,320.0,2.0,0.0,0.0,3.0
Bietencouscous met kip en witte kaas,720.0,60.0,0.0,0.0,40.0,36.0,0.0,0.0
Bietencouscous met peterselie,460.0,65.0,0.0,0.0,20.0,11.0,0.0,0.0
Bietencurry met sugarsnaps en rijst,705.0,68.0,0.0,1010.0,20.0,37.0,17.0,6.0
Bietengnocchi met salie en sinaasappel,545.0,45.0,0.0,0.0,24.0,29.0,0.0,0.0
Bietenhummus,195.0,13.0,0.0,150.0,5.0,12.0,2.0,7.0
"Bietenhummus met yoghurt, komkommer en za'atar",430.0,33.0,5.0,760.0,10.0,28.0,5.0,5.0
Bietenlatkes met warmgerookte zalm en room,220.0,7.0,0.0,200.0,7.0,18.0,6.0,2.0
Bietenpannenkoekjes,95.0,7.0,6.0,40.0,2.0,6.0,2.0,2.0
Bietenpesto,220.0,6.0,0.0,160.0,4.0,20.0,3.0,1.0
Bietenquiche met witte kaas en walnoten,665.0,40.0,0.0,960.0,26.0,43.0,18.0,8.0
Bietensalade met Griekse yoghurt en mierikswortel,95.0,14.0,0.0,160.0,5.0,1.0,0.0,0.0
"Bietensalade met wortel, appel en hazelnoten",200.0,9.0,0.0,40.0,3.0,16.0,2.0,4.0
Bietensoep met appel,210.0,17.0,0.0,800.0,3.0,13.0,3.0,7.0
Bietensoep met geitenkaascroutons,380.0,29.0,0.0,1440.0,11.0,23.0,15.0,6.0
Bietenstamp met biologische worstjes,325.0,22.0,0.0,675.0,17.0,16.0,6.0,14.0
Bietenstamppot met komijnekaas,545.0,66.0,0.0,0.0,24.0,20.0,0.0,0.0
Bietenstamppot met spek en appel,595.0,68.0,0.0,1120.0,19.0,25.0,13.0,10.0
Bietenstamppot met wortel en citroen,575.0,65.0,0.0,720.0,21.0,24.0,10.0,7.0
Bietenstoof met geitenkaas en krielsalade,790.0,78.0,0.0,1030.0,27.0,37.0,8.0,18.0
Bietentagliatelle met basilicum ,340.0,32.0,0.0,290.0,16.0,16.0,5.0,2.0
Bietentartaar met geitenkaas en gebakken kappertjes,215.0,9.0,7.0,520.0,7.0,16.0,5.0,3.0
"Bietentortilla met rode pesto, kipfilet en basilicum",425.0,22.0,0.0,1200.0,17.0,29.0,8.0,4.0
Bill Granger's aubergine parmigiana,470.0,14.0,0.0,1105.0,26.0,33.0,18.0,6.0
Bill Granger's saus van rauwe tomaten,595.0,33.0,0.0,20.0,7.0,45.0,7.0,14.0
Bio braadworst met frisse venkelsalade en krieltjes,780.0,68.0,0.0,640.0,27.0,42.0,12.0,12.0
Biologische amandelcake met banaan &amp; citroen ,325.0,38.0,0.0,160.0,9.0,14.0,3.0,5.0
Biologische volkorenspaghetti met amandelpesto,790.0,68.0,0.0,600.0,16.0,48.0,6.0,10.0
Biscuittaart met vruchtenjam en crème van witte chocolade,540.0,44.0,31.0,160.0,7.0,37.0,31.0,1.0
Bisque van garnalen,335.0,6.0,0.0,2570.0,35.0,18.0,8.0,2.0
Bitterkoekjes,65.0,5.0,0.0,0.0,2.0,4.0,0.0,1.0
Bitterkoekjespudding,750.0,65.0,0.0,135.0,7.0,48.0,27.0,3.0
Bitterkoekjestulband met chocolade,345.0,37.0,0.0,110.0,4.0,18.0,10.0,2.0
Blad-groentesoep met crostini,595.0,36.0,11.0,1360.0,16.0,41.0,11.0,7.0
Bladerdeeghapje met zalm en spinazie,85.0,5.0,1.0,120.0,3.0,6.0,3.0,0.0
Bladerdeeghapjes met feta en spinazie,190.0,10.0,1.0,160.0,5.0,14.0,6.0,1.0
Bladerdeeghartjes ,75.0,9.0,0.0,40.0,1.0,4.0,2.0,0.0
"Bladerdeegpie met kip, champignons en dragon",595.0,69.0,0.0,330.0,31.0,20.0,10.0,7.0
Blanco de verano-sorbet,115.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
Blauwaderkaasfondue,575.0,4.0,0.0,0.0,27.0,44.0,0.0,0.0
Blauwe bessen-framboossmoothie,115.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0
Blauwe-bessencheesecake,435.0,39.0,0.0,225.0,8.0,27.0,17.0,2.0
Blauwe-bessenkwark,200.0,20.0,0.0,50.0,13.0,7.0,1.0,1.0
Blauwebessen-karnemelkshake,130.0,21.0,0.0,0.0,5.0,1.0,0.0,0.0
Blini's met zalm,50.0,4.0,0.0,120.0,2.0,3.0,1.0,0.0
Blinitorentjes met gerookte zalm,170.0,12.0,0.0,520.0,10.0,9.0,3.0,1.0
Bliss balls met pindakaas en chocolade,100.0,8.0,4.0,40.0,3.0,6.0,2.0,2.0
Bliss bowl met kerriebloemkool en hummus van Denise Kortlever,515.0,49.0,0.0,640.0,16.0,26.0,4.0,10.0
Bloemkool 'buffalowings',170.0,7.0,6.0,400.0,5.0,13.0,5.0,3.0
Bloemkool en romesco van de bbq,360.0,14.0,11.0,120.0,10.0,27.0,3.0,10.0
Bloemkool met Vacherin Mont d´or ,270.0,11.0,0.0,416.0,16.0,17.0,11.0,5.0
Bloemkool met groene paprika,500.0,25.0,0.0,0.0,16.0,35.0,0.0,0.0
Bloemkool met katjang pedis,280.0,14.0,0.0,176.0,4.0,20.0,3.0,6.0
Bloemkool met kormasaus,205.0,11.0,0.0,196.0,8.0,13.0,5.0,5.0
Bloemkool met rucola,210.0,9.0,0.0,145.0,9.0,14.0,4.0,5.0
Bloemkool met salsa verde,235.0,8.0,0.0,680.0,5.0,20.0,3.0,6.0
Bloemkool- en broccoliroosjes,245.0,14.0,0.0,60.0,8.0,16.0,5.0,6.0
Bloemkool-broccoligratin,650.0,29.0,0.0,520.0,27.0,45.0,20.0,8.0
Bloemkool-kerriesoep met vegaspekjes,375.0,12.0,0.0,1240.0,12.0,30.0,13.0,6.0
Bloemkool-kikkererwtensalade,285.0,31.0,0.0,120.0,12.0,10.0,1.0,11.0
Bloemkool-macadamiaburgers,675.0,41.0,0.0,1025.0,24.0,45.0,28.0,7.0
Bloemkool-pastinaakstamppot met spinazie en tartaarballen,400.0,32.0,0.0,80.0,24.0,18.0,4.0,9.0
Bloemkool-pitasalade met za'atar en kaas,715.0,54.0,0.0,1040.0,24.0,43.0,12.0,9.0
Bloemkool-snacks met cheddar en paprikadip,100.0,3.0,2.0,160.0,4.0,8.0,3.0,1.0
Bloemkoolbodemquiche met groente en kokosmelk,420.0,12.0,8.0,440.0,21.0,30.0,13.0,9.0
Bloemkoolcouscous met kalkoen en tuinbonen,445.0,21.0,0.0,90.0,30.0,25.0,4.0,8.0
Bloemkoolcurry met kipdijfilet en naan,710.0,37.0,0.0,560.0,29.0,48.0,22.0,8.0
Bloemkoolfrittata met paprika en hazelnoten ,465.0,9.0,0.0,655.0,27.0,35.0,12.0,4.0
Bloemkoolgratin met makreel,645.0,46.0,0.0,640.0,29.0,37.0,18.0,7.0
Bloemkoolpizza bodem,730.0,21.0,0.0,1185.0,40.0,52.0,19.0,10.0
Bloemkoolpizza's met tomaat en paddenstoelen,685.0,85.0,0.0,1080.0,29.0,24.0,9.0,8.0
Bloemkoolquiche met oude kaas,705.0,28.0,7.0,1000.0,31.0,51.0,29.0,5.0
Bloemkoolquiche met tonijn en gegrilde paprika,645.0,32.0,0.0,800.0,28.0,44.0,24.0,3.0
Bloemkoolrijst,40.0,5.0,4.0,40.0,3.0,0.0,0.0,4.0
Bloemkoolrijst met gehaktballetjes &amp; pompoenhummus,410.0,21.0,0.0,560.0,22.0,24.0,7.0,9.0
Bloemkoolrijst met groene groenten &amp; gegrilde kip ,465.0,11.0,0.0,240.0,29.0,32.0,6.0,8.0
"Bloemkoolrijst met groente, gele curry en ei ",415.0,19.0,0.0,600.0,14.0,29.0,10.0,10.0
Bloemkoolrijst met roergebakken biefstuk &amp; aspergebroccoli,340.0,9.0,0.0,1120.0,40.0,13.0,2.0,11.0
Bloemkoolrijst-schotel met rode kidneybonen,375.0,17.0,11.0,120.0,9.0,27.0,3.0,14.0
Bloemkoolrijstomelet met gebakken paksoi &amp; warmgerookte zalm,555.0,8.0,6.0,960.0,35.0,41.0,12.0,6.0
Bloemkoolrisotto met aubergine &amp; Grana Padano,400.0,12.0,9.0,520.0,13.0,32.0,11.0,7.0
Bloemkoolsalade met spekjes en paprika,150.0,8.0,0.0,1205.0,7.0,9.0,4.0,4.0
Bloemkoolschotel,765.0,48.0,12.0,560.0,41.0,43.0,26.0,10.0
Bloemkoolsoep met warmgerookte zalmflakes,225.0,8.0,0.0,1320.0,13.0,15.0,8.0,4.0
Bloemkoolsteaks met kikkererwtensalade,460.0,34.0,11.0,160.0,24.0,22.0,4.0,15.0
Bloemkoolsushi,35.0,2.0,2.0,80.0,2.0,2.0,1.0,1.0
Bloem­kool­stamp­ met spekjes en krokante visburger,635.0,68.0,0.0,1160.0,28.0,26.0,5.0,9.0
Bloody Mary mosselen,470.0,25.0,0.0,0.0,20.0,25.0,0.0,0.0
Bloody Mary-gazpacho,160.0,13.0,0.0,600.0,2.0,4.0,0.0,3.0
Blote billetjes in het gras,255.0,16.0,0.0,255.0,11.0,11.0,7.0,10.0
Blueberry-lemon frozen yoghurt,275.0,29.0,0.0,80.0,5.0,15.0,10.0,1.0
Blueberry-muffins,230.0,34.0,16.0,120.0,5.0,8.0,2.0,1.0
Boekweitgalette met zomerfruit ,945.0,137.0,0.0,200.0,13.0,37.0,18.0,7.0
Boekweitpannenkoeken met blauwe bessen ,405.0,53.0,0.0,835.0,12.0,15.0,9.0,5.0
Boekweitpannenkoekjes met appel en pistachenoten,170.0,20.0,0.0,115.0,4.0,8.0,4.0,2.0
Boerenhutspot met filetlapjes en gebakken uien,465.0,62.0,0.0,80.0,30.0,8.0,2.0,11.0
"Boerenkaasfondue met groenten, krieltjes &amp; brood",945.0,64.0,0.0,1400.0,36.0,58.0,25.0,12.0
Boerenkool met worst en spekjes,810.0,51.0,7.0,1720.0,35.0,50.0,22.0,8.0
Boerenkool met worst uit de koekenpan,515.0,43.0,0.0,740.0,25.0,26.0,8.0,5.0
Boerenkool-bonenstoof met braadworst,350.0,24.0,0.0,480.0,23.0,16.0,5.0,9.0
Boerenkool-venkelstamp met gerookte kip en amandel,405.0,47.0,0.0,360.0,27.0,10.0,2.0,9.0
Boerenkoolsalade,115.0,10.0,0.0,425.0,4.0,6.0,1.0,3.0
Boerenkoolsmoothie,85.0,15.0,0.0,15.0,2.0,1.0,0.0,3.0
Boerenkoolsoep met witte bonen en ham,265.0,16.0,0.0,2644.0,16.0,13.0,4.0,7.0
Boerenkoolstamp met kruidenroomkaas,575.0,58.0,0.0,381.0,20.0,27.0,1.0,9.0
Boerenkoolstampot met spekjes,560.0,53.0,4.0,840.0,22.0,27.0,13.0,8.0
Boerenkoolstamppot anders met zoete aardappel,385.0,54.0,0.0,660.0,13.0,11.0,3.0,10.0
"Boerenkoolstamppot met feta, rode ui en hazelnoten",435.0,37.0,0.0,400.0,14.0,24.0,6.0,8.0
Boerenkoolstamppot met pastinaak en een gehaktbal,630.0,50.0,11.0,320.0,36.0,29.0,12.0,11.0
Boerenkoolstamppot met sticky speklapje,870.0,73.0,21.0,1240.0,30.0,48.0,15.0,12.0
Boerenkoolstamppot met uitgebakken chorizo,600.0,70.0,0.0,920.0,26.0,22.0,8.0,10.0
Boerenkoolstamppot met vega rookworst en Speck,555.0,52.0,5.0,1160.0,18.0,28.0,12.0,12.0
Boerenkoolstamppot met zoete aardappel,715.0,47.0,14.0,960.0,32.0,42.0,12.0,10.0
Boerenkoolstoof met chorizo,550.0,46.0,0.0,1505.0,25.0,28.0,10.0,7.0
Boerenvisschotel,560.0,64.0,0.0,0.0,24.0,22.0,0.0,0.0
Boerse tomatensalade,250.0,7.0,0.0,280.0,2.0,23.0,3.0,3.0
